n_robots,arm,align_mean,align_median,align_sd,align_ci_lo,align_ci_hi,pose_mean,pose_median,pose_sd
2,fifo,0.3343153637031433,0.2561880452952317,0.21110097275872716,0.2587738507715342,0.4098568766347524,0.44174646167882414,0.3790874042360872,0.1963839969583393
2,bacs_gated,0.1751568042821124,0.1689451795233252,0.031152003368974415,0.16400920304375843,0.18630440552046634,0.3781148022670358,0.35509633524346707,0.12835091442656527
2,plus_0.30_6,0.18039564642704745,0.17272829792600955,0.041266906949594534,0.16562847342807116,0.19516281942602373,0.3913344654514222,0.370799797963245,0.12609554756886626
2,plus_0.60_5,0.17756171063503465,0.17423113586501104,0.033288389569143276,0.16564961341327555,0.18947380785679374,0.3792610145927428,0.344208755860948,0.11518565461770375
3,fifo,0.4362832621638228,0.3972431001162992,0.14131850381701058,0.3857130850392978,0.4868534392883478,0.43177070523336575,0.40141646826521354,0.16056215805676882
3,bacs_gated,0.22219689763950554,0.21827670528758253,0.059871029348513724,0.2007723249402188,0.24362147033879228,0.3986330401003418,0.3983015653466145,0.14040811515540097
3,plus_0.30_6,0.22653558168916116,0.22506941320482804,0.05991893324340822,0.2050938668012414,0.24797729657708092,0.39475116228110707,0.362823112587621,0.13309486755598987
3,plus_0.60_5,0.23363291684068085,0.2221741245704949,0.07817832594127658,0.20565716219167557,0.26160867148968614,0.38506253792752754,0.37756736836094573,0.10847702923775313
4,fifo,0.2762317100430247,0.2381370014746709,0.1322173260269587,0.228918347563811,0.3235450725222384,0.37166173000417296,0.33855993219060654,0.12195987691339162
4,bacs_gated,0.20653500139177486,0.1862881073439203,0.06573025025857193,0.18301373341741617,0.23005626936613355,0.37589852856399103,0.3516935975240016,0.11939417173563485
4,plus_0.30_6,0.21733470588324907,0.2008487819329241,0.07454168876213592,0.19066030513567564,0.2440091066308225,0.36955899052065705,0.36248302216791206,0.10561243337664233
4,plus_0.60_5,0.21232689693321288,0.19464739296355088,0.07494594167751578,0.18550783613772145,0.2391459577287043,0.3619500852842654,0.3303923459468308,0.11947535460042746
5,fifo,0.2570839234789079,0.219367789906244,0.12242605942062265,0.21327432075642788,0.30089352620138793,0.3096539038029981,0.2818624320555092,0.10282533972328843
5,bacs_gated,0.21101833974135217,0.14307502409224926,0.1582034251985794,0.15440597109953463,0.2676307083831697,0.3374401266299808,0.3321300366117481,0.08213746871496908
5,plus_0.30_6,0.1833023733841704,0.15641768586266575,0.08242587996814096,0.1538066510474046,0.21279809572093622,0.3463871202094859,0.33295065342994695,0.12733784454007555
5,plus_0.60_5,0.2221597595831725,0.15989015540968315,0.15977954831730173,0.16498338252680894,0.27933613663953605,0.3371508092552678,0.3234541235833307,0.1199000694212247
